案例,项目编号,项目名称,所属行业,初始投资(万元),寿命期(年),互斥组,风险等级,各期净现金流(万元),现金流符号变化次数
CASE-1,IND-A,智能仓储自动化改造,智能制造 / 物流,1000.0,5,-,中,"280.00, 300.00, 320.00, 340.00, 360.00",1
CASE-1,IND-B,传统生产线扩建,传统制造,1800.0,6,-,中高,"300.00, 330.00, 360.00, 390.00, 420.00, 450.00",1
CASE-2,MUT-P,小型技改方案（高报酬率、低净现值）,智能制造,1000.0,3,MUT-SCALE,中,"450.00, 450.00, 450.00",1
CASE-2,MUT-Q,大型技改方案（低报酬率、高净现值）,智能制造,2500.0,3,MUT-SCALE,中高,"1250.00, 1100.00, 900.00",1
CASE-2,MUT-X,设备 A 方案（短寿命、高年金）,设备投资,1000.0,6,MUT-LIFE,中,"260.00, 260.00, 260.00, 260.00, 260.00, 260.00",1
CASE-2,MUT-Y,设备 B 方案（长寿命、低年金）,设备投资,1400.0,10,MUT-LIFE,中,"250.00, 250.00, 250.00, 250.00, 250.00, 250.00, 250.00, 250.00, 250.00, 250.00",1
CASE-3,CAP-A,智能制造产线升级,智能制造,1800.0,6,-,中,"619.94, 619.94, 619.94, 619.94, 619.94, 619.94",1
CASE-3,CAP-B,区域仓储中心建设,物流仓储,1500.0,8,-,中,"418.94, 418.94, 418.94, 418.94, 418.94, 418.94, 418.94, 418.94",1
CASE-3,CAP-C,冷链物流基地,物流仓储,1500.0,9,-,中高,"386.35, 386.35, 386.35, 386.35, 386.35, 386.35, 386.35, 386.35, 386.35",1
CASE-3,CAP-D,数据中台建设,信息技术,1000.0,5,-,中,"387.79, 387.79, 387.79, 387.79, 387.79",1
CASE-3,CAP-E,生产设备更新,设备投资,1000.0,6,-,中,"335.23, 335.23, 335.23, 335.23, 335.23, 335.23",1
CASE-3,CAP-F,新能源充电站网络,新能源,1200.0,7,-,中高,"357.41, 357.41, 357.41, 357.41, 357.41, 357.41, 357.41",1
CASE-3,CAP-G,节能改造成套设备,节能环保,800.0,4,-,中,"360.89, 360.89, 360.89, 360.89",1
CASE-3,CAP-H,办公信息化系统,信息技术,600.0,3,-,低,"340.18, 340.18, 340.18",1
CASE-4,UNC-A,矿山开发项目（含生态治理支出）,采掘业,2000.0,2,-,高,"5400.00, -3520.00",2
CASE-4,UNC-B,化工装置退役治理项目,化工环保,2000.0,2,-,高,"4600.00, -2625.00",2
CASE-4,UNC-C,常规现金流对照项目,设备投资,1500.0,3,-,中,"600.00, 600.00, 600.00",1
CASE-5,SENS-S,智能装备产线（抗风险较强）,智能制造,5000.0,8,-,中,"1000.00, 1050.00, 1100.00, 1150.00, 1200.00, 1250.00, 1300.00, 1550.00",1
CASE-5,SENS-W,传统产线改造（抗风险较弱）,传统制造,5000.0,8,-,中高,"800.00, 850.00, 900.00, 950.00, 1000.00, 1050.00, 1100.00, 1300.00",1
CASE-6,P01,新能源项目01,新能源（光伏组件制造）,4376.44,10,-,中高,"979.75, 1305.24, 1513.93, 1414.59, 1674.53, 1364.60, 1561.34, 1638.32, 1724.71, 1788.01",1
CASE-6,P02,新能源项目02,新能源（光伏组件制造）,4310.26,8,-,中高,"904.82, 1245.24, 1532.16, 1428.54, 1504.22, 1394.59, 1346.16, 1592.76",1
CASE-6,P03,半导体项目03,半导体（晶圆产线）,8177.01,10,-,高,"1467.47, 1857.14, 2201.08, 2196.31, 1906.57, 1528.44, 1341.02, 1442.06, 1468.46, 2059.73",1
CASE-6,P04,半导体项目04,半导体（晶圆产线）,8607.23,12,-,高,"1416.69, 1809.79, 2040.13, 1906.07, 1785.58, 1771.64, 1651.62, 1431.07, 1401.08, 1499.44, 1492.85, 2009.82",1
CASE-6,P05,生物医药项目05,生物医药（创新药研发）,2627.3,10,-,高,"-335.36, -319.27, 270.18, 861.94, 1136.89, 1415.19, 1594.21, 2100.90, 2791.98, 3329.72",1
CASE-6,P06,生物医药项目06,生物医药（创新药研发）,2898.42,10,-,高,"-383.90, -392.32, 277.19, 841.21, 1179.38, 1378.67, 1842.45, 2227.93, 2567.25, 3230.37",1
CASE-6,P07,消费零售项目07,消费零售（连锁门店）,1574.71,6,-,低,"459.12, 458.55, 490.61, 512.35, 518.12, 520.14",1
CASE-6,P08,消费零售项目08,消费零售（连锁门店）,1264.87,5,-,低,"422.32, 434.93, 441.22, 436.35, 452.84",1
CASE-6,P09,公用事业项目09,公用事业（城市管网改造）,3451.97,12,-,低,"516.02, 512.54, 521.92, 552.13, 533.45, 542.49, 558.60, 595.44, 592.98, 599.33, 618.53, 645.03",1
CASE-6,P10,公用事业项目10,公用事业（城市管网改造）,2989.87,14,-,低,"413.08, 427.92, 437.57, 462.10, 466.12, 470.98, 476.30, 488.10, 485.74, 512.68, 504.13, 543.66, 527.33, 561.97",1
CASE-6,P11,数字软件项目11,数字软件（SaaS 平台）,1033.64,5,-,中,"304.82, 457.52, 607.59, 532.70, 650.38",1
CASE-6,P12,数字软件项目12,数字软件（SaaS 平台）,858.5,6,-,中,"305.59, 374.33, 502.72, 495.69, 581.32, 468.70",1
