案例,项目编号,项目名称,所属行业,初始投资(万元),寿命期(年),折现率,NPV(万元),IRR,IRR唯一性,年金净流量ANCF(万元),盈利能力指数PI,静态回收期(年),动态回收期(年),MIRR,可行性
CASE-1,IND-A,智能仓储自动化改造,智能制造 / 物流,1000.0,5,10.00%,198.66,17.16%,唯一,52.41,1.1987,3.29,4.11,14.06%,可行
CASE-1,IND-B,传统生产线扩建,传统制造,1800.0,6,10.00%,-202.9,6.31%,唯一,-46.59,0.8873,5.0,寿命内未收回,7.83%,不可行
CASE-2,MUT-P,小型技改方案（高报酬率、低净现值）,智能制造,1000.0,3,10.00%,119.08,16.65%,唯一,47.89,1.1191,2.22,2.65,14.20%,可行
CASE-2,MUT-Q,大型技改方案（低报酬率、高净现值）,智能制造,2500.0,3,10.00%,221.64,15.27%,唯一,89.12,1.0887,2.17,2.67,13.16%,可行
CASE-2,MUT-X,设备 A 方案（短寿命、高年金）,设备投资,1000.0,6,10.00%,132.37,14.40%,唯一,30.39,1.1324,3.85,5.1,12.30%,可行
CASE-2,MUT-Y,设备 B 方案（长寿命、低年金）,设备投资,1400.0,10,10.00%,136.14,12.22%,唯一,22.16,1.0972,5.6,8.63,11.03%,可行
CASE-3,CAP-A,智能制造产线升级,智能制造,1800.0,6,10.00%,900.0,25.72%,唯一,206.65,1.5,2.9,3.61,17.69%,可行
CASE-3,CAP-B,区域仓储中心建设,物流仓储,1500.0,8,10.00%,735.01,22.38%,唯一,137.77,1.49,3.58,4.66,15.62%,可行
CASE-3,CAP-C,冷链物流基地,物流仓储,1500.0,9,10.00%,725.0,21.19%,唯一,125.89,1.4833,3.88,5.16,14.93%,可行
CASE-3,CAP-D,数据中台建设,信息技术,1000.0,5,10.00%,470.03,27.08%,唯一,123.99,1.47,2.58,3.13,18.81%,可行
CASE-3,CAP-E,生产设备更新,设备投资,1000.0,6,10.00%,460.01,24.54%,唯一,105.62,1.46,2.98,3.73,17.16%,可行
CASE-3,CAP-F,新能源充电站网络,新能源,1200.0,7,10.00%,540.02,22.65%,唯一,110.92,1.45,3.36,4.3,16.00%,可行
CASE-3,CAP-G,节能改造成套设备,节能环保,800.0,4,10.00%,343.97,28.64%,唯一,108.51,1.43,2.22,2.64,20.29%,可行
CASE-3,CAP-H,办公信息化系统,信息技术,600.0,3,10.00%,245.98,32.10%,唯一,98.91,1.41,1.76,2.04,23.35%,可行
CASE-4,UNC-A,矿山开发项目（含生态治理支出）,采掘业,2000.0,2,10.00%,0.0,10.00%,多重(2个),0.0,1.0,0.37,0.41,10.00%,不可行
CASE-4,UNC-B,化工装置退役治理项目,化工环保,2000.0,2,10.00%,12.4,5.00%,多重(2个),7.14,1.0062,0.43,0.48,10.16%,可行
CASE-4,UNC-C,常规现金流对照项目,设备投资,1500.0,3,10.00%,-7.89,9.70%,唯一,-3.17,0.9947,2.5,寿命内未收回,9.81%,不可行
CASE-5,SENS-S,智能装备产线（抗风险较强）,智能制造,5000.0,8,10.00%,1229.66,16.00%,唯一,230.49,1.2459,4.58,6.24,13.07%,可行
CASE-5,SENS-W,传统产线改造（抗风险较弱）,传统制造,5000.0,8,10.00%,139.35,10.70%,唯一,26.12,1.0279,5.48,7.77,10.38%,可行
CASE-6,P01,新能源项目01,新能源（光伏组件制造）,4376.44,10,10.00%,4492.91,28.55%,唯一,731.2,2.0266,3.41,4.29,18.05%,可行
CASE-6,P02,新能源项目02,新能源（光伏组件制造）,4310.26,8,10.00%,2823.31,24.91%,唯一,529.21,1.655,3.44,4.36,17.15%,可行
CASE-6,P03,半导体项目03,半导体（晶圆产线）,8177.01,10,10.00%,2670.06,17.30%,唯一,434.54,1.3265,4.24,6.16,13.15%,可行
CASE-6,P04,半导体项目04,半导体（晶圆产线）,8607.23,12,10.00%,2970.83,16.72%,唯一,436.01,1.3452,4.8,7.05,12.75%,可行
CASE-6,P05,生物医药项目05,生物医药（创新药研发）,2627.3,10,10.00%,3366.42,22.10%,唯一,547.87,2.2813,5.72,7.08,18.21%,可行
CASE-6,P06,生物医药项目06,生物医药（创新药研发）,2898.42,10,10.00%,3040.71,20.32%,唯一,494.86,2.0491,6.0,7.32,16.99%,可行
CASE-6,P07,消费零售项目07,消费零售（连锁门店）,1574.71,6,10.00%,555.5,20.98%,唯一,127.55,1.3528,3.32,4.19,15.68%,可行
CASE-6,P08,消费零售项目08,消费零售（连锁门店）,1264.87,5,10.00%,389.21,21.30%,唯一,102.67,1.3077,2.92,3.64,16.06%,可行
CASE-6,P09,公用事业项目09,公用事业（城市管网改造）,3451.97,12,10.00%,316.71,11.76%,唯一,46.48,1.0917,6.49,10.49,10.81%,可行
CASE-6,P10,公用事业项目10,公用事业（城市管网改造）,2989.87,14,10.00%,465.4,12.62%,唯一,63.18,1.1557,6.66,11.05,11.14%,可行
CASE-6,P11,数字软件项目11,数字软件（SaaS 平台）,1033.64,5,10.00%,845.75,34.79%,唯一,223.11,1.8182,2.45,2.83,23.97%,可行
CASE-6,P12,数字软件项目12,数字软件（SaaS 平台）,858.5,6,10.00%,1070.46,41.87%,唯一,245.79,2.2469,2.36,2.72,25.89%,可行
